index	en	ko
1	ready	준비가 된
2	often	자주, 종종
3	touch	만지다, 접촉하다
4	fill	채우다
5	possible	가능한
6	team	팀
7	first	첫 번째 우선
8	meat	고기
9	slow	느린
10	clean	깨끗한
11	flu	독감
12	mask	마스크 가리다, 숨기다
13	insurance	보험
14	overseas	해외, 해외로
15	bite	물다
16	gossip	소문, 험담, 험담하다
17	warmly	따뜻하게
18	bark	짓다
19	second	두 번째의
20	graduate	졸업하다
21	ill	아픈
22	weekend	주말
23	familiar	익숙한, 친숙한
24	intelligent	지적인, 스마트한
25	bump	부딪히다
26	cough	기침하다, 기침
27	vegetable	채소
28	stairs	계단
29	scaling	스케일링
30	digestive	소화해
31	sunburn	햇볕으로 입은 화상
32	choice	선택
33	brand	브랜드
34	myself	나 자신
35	prefer	선호하다, 좋아하다
36	ankle	발목
37	lottery	복권
38	treat	대접하다, 다루다
39	bored	지루한
40	shower	샤워, 소나기
41	tease	놀리다, 조롱하다
42	proud	자랑스러운
43	sorry	미안한
44	vegetarian	채식주의자
45	hurt	다치다, 상처 입다
46	fault	결함, 잘못
47	month	달
48	freezing	몹시 추운
49	turn	돌리다, 차례
50	expensive	비싼
51	yogurt	요거트
52	elevator	엘리베이터
53	weak	약한
54	growl	으르렁거리다
55	form	형태, 양식
56	seat	좌석, 자리
57	breath	숨, 숨결
58	point	가리키다
59	rich	부유한
60	sunlight	햇빛
61	train	기차
62	common	공통의
63	difference	차이
64	pretty	예쁜
65	secret	비밀
66	correct	옳은
67	guide	안내하다
68	neighbor	이웃
69	sleep	잠자다
70	study	공부하다
71	travel	여행, 여행하다
72	yell	고함치다, 외치다
73	adapt	적응하다
74	affect	영향을 미치다
75	among	~사이에
76	appear	나타나다
77	attack	공격하다
78	balance	균형
79	belong	소속되다, 해당하다
80	blend	혼합하다, 석다
81	brain	뇌
82	carpet	카펫, 양탄자
83	character	성격, 특징
84	cigarette	담배
85	complete	완료하다
86	countryside	시골
87	culture	문화
88	destroy	파괴하다
89	drag	끌다
90	educate	교육하다
91	essay	에세이
92	fabric	직물
93	final	마지막의
94	fundamental	근본적인
95	gorgeous	화려한
96	hammer	망치
97	horizon	지평선
98	industry	산업
99	isolate	고립시키다
100	journal	일기
101	lamb	어린 양
102	level	수준
103	manor	저택
104	local	지역의
105	manner	방식
106	measure	측정하다
107	mild	가벼운
108	money	돈
109	necessary	필요한
110	nuclear	핵의
111	outstanding	뛰어난
112	passport	여권
113	per	~당
114	pilot	조종사
115	poet	시인
116	powder	가루
117	price	가격
118	property	재산
119	quantity	양
120	recent	최근의
121	reject	거절하다
122	respond	응답하다
123	roll	구르다
124	rural	시골의
125	scatter	흩뿌리다
126	secure	안전한
127	serve	제공하다
128	shell	껍질
129	silent	조용한
130	slice	얇은 조각
131	society	사회
132	spare	여분의
133	sport	운동
134	stage	단계
135	steam	증기
136	strategy	전략
137	submarine	잠수함
138	surface	표면
139	symphony	교향곡
140	tender	부드러운
141	third	세 번째의
142	tissue	화장지
143	trade	거래
144	triumph	승리
145	universe	우주
146	vast	광대한
147	violent	폭력적인
148	volunteer	자원봉사자
149	wheat	밀
150	withdraw	인출하다
151	peace	평화
152	vacation	휴가
153	fun	재미
154	order	명령
155	ask	묻다
156	play	놀다
157	receipt	영수증
158	rain	비
159	light	빛
160	comedy	코미디
161	shot	시도
162	where	어디에
163	key	열쇠
164	afraid	두려운
165	blame	비난하다
166	conclusion	결론
167	dress	옷
168	bloom	꽃이 피다
169	glad	기쁜
170	season	계절
171	last	지난
172	hopefully	바라건대
173	entrance	입구
174	touched	감동한
175	elbow	팔꿈치
176	finger	손가락
177	mind	마음
178	shop	상점
179	promote	홍보하다
180	problem	문제
181	toothache	치통
182	religion	종교
183	listen	듣다
184	blanket	담요
185	pinch	꼬집다
186	twist	비틀다
187	win	이기다
188	positive	긍정적인
189	death	죽음
190	gym	체육관
191	forward	앞으로
192	relax	휴식하다
193	speechless	말을 못하는
194	worth	가치 있는
195	occur	발생하다
196	hilarious	아주 웃긴
197	shortcut	지름길
198	outside	밖으로
199	deal	거래
200	noisy	시끄러운
201	wonder	궁금하다
202	details	상세
203	split	쪼개다
204	pain	통증
205	spread	퍼뜨리다
206	shame	부끄러움
207	deep	깊은
208	incredible	믿기 힘든
209	flavor	맛
210	sunset	일몰
211	traffic jam	교통 체증
212	figure	수치
213	total	합계
214	flatter	아첨하다
215	natural	자연스러운
216	cousin	사촌
217	honest	정직한
218	ocean	대양
219	snowy	눈이 오는
220	tail	꼬리
221	triangle	삼각형
222	able	할 수 있는
223	add	더하다
224	against	반대하여
225	amount	양
226	army	군대
227	attitude	태도
228	ban	금지
229	below	아래에
230	blink	깜빡이다
231	breed	품종
232	category	범주
233	chat	채팅
234	cinema	영화관
235	coast	해안
236	concentrate	집중하다
237	court	법원
238	dairy	유제품
239	develop	개발하다
240	drill	훈련
241	effort	노력
242	evidence	증거
243	faith	신념
244	finance	재정
245	funeral	장례식
246	government	정부
247	handicap	장애
248	horror	공포
249	influence	영향
250	issue	안건
251	journey	여정
252	lamp	램프
253	license	면허
254	locate	위치시키다
255	marathon	마라톤
256	metal	금속
257	military	군사의
258	monitor	모니터
259	needle	바늘
260	nut	견과
261	oven	오븐
262	patch	조각
263	perform	수행하다
264	pine	소나무
265	poison	독
266	practical	실용적인
267	privacy	사생활
268	propose	제안하다
269	quarter	4분의 1
270	recipe	요리법
271	rely	의존하다
272	result	결과
273	romantic	낭만적인
274	sacred	신성한
275	scramble	재빨리 움직이다
276	seed	씨앗
277	service	서비스
278	shelter	대피소
279	silver	은
280	slide	미끄러지다
281	software	소프트웨어
282	special	특별한
283	spot	장소
284	stain	얼룩
285	steel	강철
286	stream	개울
287	submit	제출하다
288	surgery	수술
289	system	체계
290	tennis	테니스
291	thirteen	13
292	title	제목
293	tradition	전통
294	trust	신뢰
295	university	대학교
296	vehicle	탈것
297	virtual	가상의
298	vote	투표
299	wheel	바퀴
300	without	없이
301	absolutely	절대적으로
302	fine	괜찮은
303	hungry	배고픈
304	serious	심각한
305	minute	분
306	bottom	바닥
307	bill	계산서
308	explain	설명하다
309	schedule	일정
310	attractive	매력적인
311	text	문자
312	work	일하다
313	no	아니오
314	depressed	우울한
315	bother	괴롭히다
316	mention	언급하다
317	safely	안전하게
318	follow	따라가다
319	grab	잡다
320	guess	추측하다
321	seem	~처럼 보이다
322	tea	차
323	fee	요금
324	apologize	사과하다
325	sick	아픈
326	adopt	입양하다
327	care	보살핌
328	throw up	토하다
329	blast	폭발
330	fever	열
331	virus	바이러스
332	sunny	화창한
333	shirt	셔츠
334	towel	수건
335	wallet	지갑
336	usually	보통
337	daily	매일의
338	lightweight	가벼운
339	sober	술 취하지 않은
340	multitasking	다중 작업
341	nervous	긴장한
342	satisfied	만족한
343	starve	굶주리다
344	fit	적합한
345	delicious	맛있는
346	nothing	아무것도 아님
347	tie	묶다
348	humid	습한
349	noon	정오
350	salty	짠
351	voice	목소리
352	concert	콘서트
353	taxi	택시
354	white	하얀
355	refill	리필
356	fold	접다
357	trash	쓰레기
358	unbelievable	믿기 힘든
359	slippery	미끄러운
360	temperature	온도
361	fire	불
362	college	대학
363	type	유형
364	argument	논쟁
365	awesome	아주 멋진
366	divide	나누다
367	human	인간
368	office	사무실
369	sock	양말
370	textbook	교과서
371	wide	넓은
372	above	위에
373	adjust	조절하다
374	agency	대리점
375	angle	각도
